Price,Quantity,LSTM_Predicted_Price,LSTM_Predicted_Quantity
2382.18,28991.4,2497.083008,21915.80078
2226.42,12875,2345.037842,21068.63867
2439.49,39325.2,2316.080811,31692.22852
2643.43,19122.6,2422.38501,22297.72852
2644.78,26072.6,2633.762695,35328.39063
2741.72,28031,2697.884033,30109.49414
2791.07,11348.4,2717.734375,19317.1582
2704.46,31773.3,2861.331055,26593.13281
2811.59,32541.9,2734.08667,21921.69531
2752.98,21495.5,2846.304443,24827.08398
2768.51,29435.6,2804.371826,35490.03516
2724.83,20015.3,2742.989746,28840.25
2728.76,40945.5,2706.160645,34254.82031
2627.66,21385.3,2750.441406,31179.15039
2648.83,22981.3,2688.174561,36582.06641
2668.69,37887.1,2662.029785,32039.68945
2740.19,37069.5,2639.999023,26664.18945
3041.91,31765.9,2759.367188,34900.85547
2928.36,45879.2,3042.529541,32731.73438
1769.93,16104.5,2824.345947,29691.25977
1553.67,17606.1,1997.78064,44004.23828
1658.38,55756.8,1749.239502,36974.89844
1674.45,42266.3,1610.626221,26914.32031
1687.92,18487.5,1653.336792,39112.25781
1654.4,31570.9,1817.528564,45624.16016
1478.87,18435.8,1689.40564,34625.48438
1443.68,36461.5,1553.894775,37287.30078
1348.9,56028.9,1483.598755,32475.49609
1335.71,13976.9,1341.919922,30419.41211
1215.8,61559.6,1384.738403,45491.41797
1069.57,49234.9,1265.108032,33059.23828
1145.35,37787.8,1200.221924,46107.11328
1440.28,37599.6,1212.199219,45148.27344
1533.03,57696.1,1384.965332,38006.13281
1658.31,52912.5,1431.287598,33488.17578
1626.51,6153.6,1608.310181,41584.91797
1782.96,49854.3,1739.648071,50898.52344
1724.2,11345.2,1820.387695,43362.92188
1780.43,9125.1,1813.062988,40032.94922
1617.51,12055.5,1897.555786,30996.39063
1850.89,18956.8,1718.283203,33025.66016
1573.44,48965.8,1760.835083,45109.72266
1596.16,88495.2,1668.150146,51738.58984
1538.36,87226.5,1705.996094,63438.75
1582.96,57314.2,1603.829102,65944.21094
1624.12,82083.5,1607.699097,61760.8125
1670.67,28962.4,1552.31604,46052.64453
1597.65,65759.7,1620.804077,56292.60156
1648.71,54894.7,1558.830566,43769.80469
1603.96,32433,1487.999512,60679.62109
1619.57,61195.4,1570.06958,47200.26563
1630.07,79676,1618.231689,50191.22656
1615.58,75911.2,1597.504395,50183.97656
1595.96,26686.1,1558.239868,53212.51953
1665.5,85397.6,1591.21936,72158.96094
1600.13,54135.7,1554.81897,46736.32422
